Years,State,Pdtrait,PdtraitRANK
25,TAS,HS,1st
30,TAS,HS,1st
32,TAS,HS,1st
35,TAS,DR,1st
32,TAS,HS,1st
35,SA,HS,1st
30,SA,HS,1st
30,SA,HS,1st
4,SA,HS,1st
15,TAS,DR,1st
40,TAS,DR,1st
10,SA,UG,1st
37,TAS,HS,1st
25,TAS,DR,1st
9,SA,UG,1st
20,SA,UG,1st
17,TAS,HS,1st
44,SA,FG,1st
17,SA,UG,1st
2,TAS,UG,1st
33,SA,HS,1st
25,TAS,DR,2nd
30,TAS,DR,2nd
32,TAS,FG,2nd
35,TAS,UG,2nd
32,TAS,DR,2nd
35,SA,DR,2nd
30,SA,UG,2nd
30,SA,DR,2nd
4,SA,UG,2nd
15,TAS,HS,2nd
40,TAS,HS,2nd
10,SA,HS,2nd
37,TAS,DR,2nd
25,TAS,HS,2nd
9,SA,DR,2nd
20,SA,HS,2nd
17,TAS,DR,2nd
44,SA,UG,2nd
17,SA,RH,2nd
2,TAS,DR,2nd
33,SA,DR,2nd
25,TAS,UG,3rd
30,TAS,UG,3rd
32,TAS,DR,3rd
35,TAS,RH,3rd
32,TAS,UG,3rd
35,SA,RH,3rd
30,SA,FG,3rd
30,SA,TT,3rd
4,SA,RH,3rd
15,TAS,RH,3rd
40,TAS,UG,3rd
10,SA,DR,3rd
37,TAS,RH,3rd
25,TAS,UG,3rd
9,SA,FG,3rd
20,SA,DR,3rd
17,TAS,UG,3rd
44,SA,DR,3rd
17,SA,FG,3rd
2,TAS,TT,3rd
33,SA,UG,3rd
25,TAS,RH,4th
30,TAS,TT,4th
32,TAS,RH,4th
35,TAS,HS,4th
32,TAS,TT,4th
35,SA,TT,4th
30,SA,TT,4th
30,SA,RH,4th
4,SA,FG,4th
15,TAS,UG,4th
40,TAS,RH,4th
10,SA,RH,4th
37,TAS,UG,4th
25,TAS,RH,4th
9,SA,HS,4th
20,SA,RH,4th
17,TAS,RH,4th
44,SA,HS,4th
17,SA,HS,4th
2,TAS,FG,4th
33,SA,RH,4th
25,TAS,FG,5th
30,TAS,RH,5th
32,TAS,TT,5th
35,TAS,FG,5th
32,TAS,FG,5th
35,SA,FG,5th
30,SA,DR,5th
30,SA,UG,5th
4,SA,DR,5th
15,TAS,FG,5th
40,TAS,FG,5th
10,SA,TT,5th
37,TAS,TT,5th
25,TAS,FG,5th
9,SA,RH,5th
20,SA,TT,5th
17,TAS,FG,5th
44,SA,RH,5th
17,SA,DR,5th
2,TAS,HS,5th
33,SA,TT,5th
25,TAS,TT,6th
30,TAS,FG,6th
32,TAS,UG,6th
35,TAS,TT,6th
32,TAS,RH,6th
35,SA,UG,6th
30,SA,RH,6th
30,SA,FG,6th
4,SA,TT,6th
15,TAS,TT,6th
40,TAS,TT,6th
10,SA,FG,6th
37,TAS,FG,6th
25,TAS,TT,6th
9,SA,TT,6th
20,SA,FG,6th
17,TAS,TT,6th
44,SA,TT,6th
17,SA,TT,6th
2,TAS,RH,6th
33,SA,FG,6th